Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Score
3944239644144231424,0.0050653528701086635,0.13229853629255778,0.8268159273269583,-inf,0.3296345005205764,227.0,858.0,inf
3951723256343550465,0.03132321642227428,0.2087449492189469,0.7375844556732155,-inf,0.43916637944466214,1215.0,3447.0,inf
3962024093501274881,0.026909352878685743,0.2568147260462387,0.5663973852463676,-inf,0.32983412621862607,337.0,1273.0,inf
3937714876784951296,0.022364252086763306,0.1596315988215766,0.8360562460914298,-inf,0.49008255981428456,201.0,511.0,inf
3975392755164484097,0.02766353663919449,0.17400982732326317,0.7234197479747899,-inf,0.34877901441216796,512.0,1829.0,inf
3991414786174551297,0.06810460823353537,0.16758052934017031,0.9047455214628218,-inf,0.37257752219696133,93.0,311.0,inf
4000877324693233921,0.014392111778049915,0.13646936055244926,0.6732634416840348,-inf,0.5589185957885612,2714.0,6050.0,inf
4008537296438699777,0.07085641744139416,0.17401664844483608,0.8332642437288209,-inf,0.5798820368085716,249.0,535.0,inf
4033614723417828608,0.03752350744718845,0.20094627887243488,0.775055549285631,-inf,0.27767848381625243,115.0,516.0,inf
3966142151544441601,0.03968352707778337,0.20428446326906452,0.8460890021972058,-181.3815097958517,0.6629489440245002,1028.0,1932.0,18.492720519606664
4041804592937345281,0.004249781384384481,0.13717784567763003,0.49977748580849846,-46.067383748018756,0.28778304111958486,85.0,368.0,4.792960983738334
4004410127575640832,0.06412817125038503,0.1808328741022011,0.8390117220060743,-44.06172678340364,0.43005517689061984,175.0,507.0,4.715391084315259
3879821005658659073,0.18183957885800217,0.19698361217085159,0.8762231834478473,-42.58664586138808,0.41292906083580794,289.0,872.0,4.61044363108711
3960874214179953664,0.03397663691401081,0.37837393887195964,0.790184337162538,-34.536210321481484,0.6425065968448589,1233.0,2391.0,3.8260269977982233
3957509601040585217,0.041157330556160665,0.18401521789724204,0.6324108988293742,-15.468070778595635,0.33583053474554375,300.0,1113.0,1.7896056073208437
4017263283405469185,0.024376276792656488,0.23105014278675445,0.706345227109663,-12.557645607719635,0.41888003825863435,2034.0,6050.0,1.534332525440771
3946087913459823360,0.010625316959058523,0.14590001135428582,0.8331785722997386,-11.186052604330314,0.395176233021942,1930.0,6085.0,1.3966438188559422
4020204877254599680,0.04030597971063686,1.0,0.7873714304516157,-8.028348113683956,0.4104365369958005,1993.0,6050.0,1.2544881987710699
3880920727367689984,0.006290086624462481,0.14428570239056954,0.6378243002460602,-8.08406995561114,0.42103884766477523,49.0,145.0,1.0509237916087337
3932103299427844097,0.032797128201374225,0.1921499616371362,0.8271544197337396,-7.609960868731804,0.3744049976357059,778.0,2589.0,1.049577101134909
