Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions
3672754654734989568,0.4763850357271092,566.59765978,-0.2673744328770453,-0.4607807947540967,44.303797468354425,210.0,474.0
3733192481840423936,0.25109886265200626,2923.97719988,-1.2373237726849429,-0.7603550322920538,80.2612481857765,553.0,689.0
3768170840939476993,8.779089104108492,243.66889897,0.7116525258109976,0.0,42.857142857142854,6.0,14.0
3784403294629753856,0.33981861143763625,2521.81430468,-1.521594118491258,-0.17726106940104958,30.231404958677686,1829.0,6050.0
3786761687746711808,0.3320721883823882,205.02139999,-0.719837246143104,-2.3182124312164807,45.1219512195122,37.0,82.0
3788465932399412480,0.8368063722229275,13960.966456670001,-0.7793265389290974,-0.22426255689216867,44.607363962202676,1369.0,3069.0
3818233536529843712,0.7892085598942918,6419.607907139999,-0.42651890386473007,-0.9319387063687504,33.919774806474315,482.0,1421.0
3819545518395756033,0.6898168266747995,980.06319996,-2.2716542197088563,0.0,38.23529411764706,26.0,68.0
3826087012661391104,12.17851745780603,532.65697373,0.7339861016541696,-0.05034773356167872,58.333333333333336,63.0,108.0
3858510226868015873,-0.03568396328203826,-280.97295039,-2.620911069795773,-6.255267959451345,24.397590361445783,243.0,996.0
3865845304835489536,0.710571420923522,1406.06618669,-1.0039370803159073,-0.0011435870223209283,51.13378684807256,451.0,882.0
3878631538480067329,0.4104572850492225,3921.2330411600005,-0.3603468095230296,-0.2903857914851584,50.337958022056206,1415.0,2811.0
3879821005658659073,2.0616739267749873,4268.00656095,-0.16044809142371388,-42.58664586138808,33.142201834862384,289.0,872.0
3880920727367689984,-0.10905775247160804,-176.82699999000002,-1.8831625598267268,-8.08406995561114,33.793103448275865,49.0,145.0
3886752488982104320,0.8994404782536423,7195.178324640001,0.026100932987903325,-0.030570947252791882,74.5396317053643,931.0,1249.0
3887577207880438784,0.21449107715407587,2417.51403674,-0.9933305910687953,-0.6817660809437054,47.81818181818182,2893.0,6050.0
3891020560590657281,1.7434069462039081,2856.30056379,0.023656451261309348,0.0,64.75972540045767,283.0,437.0
3907081197088384000,1.0992418198530547,18015.997370259996,-0.20388699134325808,-0.24290796239180892,61.39714769156394,2540.0,4137.0
3910887259807777281,0.8922299808025964,1803.3020100100002,-0.7269254191926482,-0.35731454229207127,22.666666666666664,17.0,75.0
3910983669796782848,0.7175143454263484,6761.648048249999,-0.9863423800377102,-0.24108051153992885,42.8125,274.0,640.0
3911997667197443328,0.621665092184959,605.72231024,-0.1737969667069276,0.0,46.875,30.0,64.0
3914654298562589441,0.08002997640851603,343.47044905000075,-0.053865388161329214,-1.3328479030481628,41.40786749482402,200.0,483.0
3919174299855478272,0.06321673528339904,1456.3718076200003,-0.5150205215395581,-1.0597447582798942,48.06629834254144,609.0,1267.0
3923766029921022977,0.15648862124032628,772.7290318900001,-1.2228399399826624,-0.3546185908456346,28.51469420174742,359.0,1259.0
3925368433214965504,0.3753030637163513,6789.436738630001,-1.4917999922531007,-0.0403372353114207,33.33333333333333,486.0,1458.0
3926423286576838657,0.13545884037560055,1309.4599595900002,-6.492199043453503,-0.5423807352680015,34.10041841004184,163.0,478.0
3930688517098515713,0.29321394573311843,1947.24457347,-0.6564639465966271,-0.8991870812790261,48.61111111111111,140.0,288.0
3931992636670880512,0.5710796250365378,10374.96528998,-0.7707200987027998,-0.42428009807275074,40.16528925619834,2430.0,6050.0
3932103299427844097,0.21871120967134075,3860.3097053499996,-0.5150280628633972,-7.609960868731804,30.050212437234453,778.0,2589.0
3935808725185052672,0.11825916711168154,2301.9641228599994,-1.9512573551717003,-1.1562643522573728,35.10204081632653,602.0,1715.0
3936410995029308417,1.7910538387345118,10681.514000000001,0.015457841601936131,0.0,30.0,6.0,20.0
3937714876784951296,0.08970499951658285,1117.5308932100006,-0.45070181747312843,-inf,39.33463796477495,201.0,511.0
3939318616482048768,1.0162799258193589,9775.389109840002,-1.0357670518819415,-0.019028925882213492,37.46031746031746,118.0,315.0
3939925275039085824,0.6556841633425939,2378.8786707,-1.060277200800318,-0.2789239964705323,36.23481781376518,2148.0,5928.0
3941019213896463617,0.48928326943914424,4234.087790029999,-0.31767999310647504,-2.4350618973431084,49.107142857142854,55.0,112.0
3942630767220672256,0.5463509212488181,6611.89848042,-0.4317027574359001,-0.9825575352122137,38.29744415375327,1903.0,4969.0
3943533600390906881,1.0608087437491676,2361.4245720499994,-0.36023835456403014,-0.014246522776996449,54.80386583285958,964.0,1759.0
3944088772635000577,0.7088427632933676,7581.491983399999,-0.4887584195411465,-0.01309295336949778,45.75292759360053,2774.0,6063.0
3944239644144231424,-0.12420201934127043,-1187.8909756799994,-0.5174740716650126,-inf,26.456876456876454,227.0,858.0
3944658614777849089,2.0835728712731334,2074.4499799600003,0.3144804679224129,0.0,44.44444444444444,20.0,45.0
3946087913459823360,-0.05545109315060492,-40.667241669999996,-0.4714964210791129,-11.186052604330314,31.71733771569433,1930.0,6085.0
3949214983441029120,0.33279920298540916,1317.5775589599998,-0.8032286562185363,-0.653673066595388,36.9757174392936,1675.0,4530.0
3949329502284748801,0.8227625989486956,425.96505789,-0.4415951858323648,-0.2761719610563098,18.75,72.0,384.0
3951723256343550465,0.20048576822688127,5260.022863890001,-1.1622772066053848,-inf,35.24804177545692,1215.0,3447.0
3952087967771302912,0.6091955584654052,1032.60525986,-1.8086621270402452,0.0,33.72093023255814,58.0,172.0
3953433416230728705,0.4084618747774278,4924.761779980001,-1.3087847861767485,-0.3340625368046595,20.872865275142317,110.0,527.0
3953764659057081857,0.3711734934649143,6048.86608919,-2.090898971216869,-0.29578044535867226,30.874785591766724,180.0,583.0
3956048468100538880,1.1145612443640718,1373.56489,0.4383496799036448,0.0,71.42857142857143,20.0,28.0
3956076827719377409,1.0322298310165385,16790.01223802,-0.8577822949319026,-0.2461429331885709,51.55771195097037,2019.0,3916.0
3957509601040585217,0.32208807431247743,3174.1803667200006,-1.9222808007284886,-15.468070778595635,26.954177897574123,300.0,1113.0
3960874214179953664,0.23329625287420802,19567.47128569,-0.7821807243528193,-34.536210321481484,51.568381430363864,1233.0,2391.0
3962024093501274881,0.1459067814121948,9314.494060179999,-2.3993066719583735,-inf,26.472898664571876,337.0,1273.0
3966142151544441601,0.303863972044831,4883.80077594,-0.37820326433708146,-181.3815097958517,53.20910973084886,1028.0,1932.0
